"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","2","2","6","1","7","2933151","3000000","2","66849","1","6000000"
"5","2","62.5","2","2","6","2","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","6","3","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","6","4","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","6","5","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","6","6","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","6","7","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","6","8","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","7","1","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","2","2","7","2","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","7","3","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","7","4","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","7","5","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","7","6","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","7","7","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","8","1","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","2","2","8","2","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","8","3","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","8","4","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","8","5","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","8","6","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","9","1","10","3719583","4000000","2","280417","1","8000000"
"5","2","62.5","2","2","9","2","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","9","3","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","9","4","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","9","5","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","10","1","11","3981727","4000000","2","18273","1","8000000"
"5","2","62.5","2","2","10","2","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","2","2","10","3","13","4506015","5000000","2","493985","1","10000000"
"5","2","62.5","2","2","10","4","14","4768159","5000000","2","231841","1","10000000"
"5","2","62.5","2","2","11","1","12","4243871","4500000","2","256129","1","9000000"
